,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,channel_1,channel_2,ch_utilization_1,ch_utilization_2,noise_x,noise_y,tx_power_1,tx_power_2,n_clients_2_4,n_clients_5
1511,1709919713.4442668,51c9bfd76ccba54d80164b8459c462bf57c1d610fb897b238791ed053f9b4422,7e1b6b171754d4910fed240c38c110ec1ee6edd4e8a8c32741e4eebc4f6aef9c,edu.unito.it,-44,51,53318897,3495554,10.0,AP-BCI-05,External,1709919725.9061918,188.38.199.221.106.64,6.0,52.0,44.0,6.0,-93.0,-98.0,5.0,1.0,0.0,30.0
1512,1709919713.4442668,8bb11f4770ecfcffae798943499df9c6b9a12e9baf2482950fed50459c8c08df,47a9a84edbbcadf555bcaa0042b19aeb9247bd00f3329e2b3d0e476c7e79a17e,polito.it,-62,29,1432260138,1175053992,10.0,AP-GESD2-02,Staff,1709919725.9061918,244.207.226.178.149.0,11.0,36.0,29.0,5.0,-91.0,-89.0,3.0,1.0,1.0,17.0
1513,1709919713.4442668,02acac315033e1d9c2cedce651060f3bcb47a1dc536b47e02ec691e298bdc2fa,90b39e5b8562fdc68f527557569edcc490f003dfd92ebc47f274588f20f68bc1,studenti.polito.it,-65,25,1280209,1911824,10.0,AP-DISMIC08,Student,1709919725.9061918,24.128.144.205.75.192,1.0,36.0,7.0,0.0,-97.0,-87.0,4.0,1.0,0.0,5.0
1514,1709919713.4442668,43fb45701f22495b03b7838a66e856a74c41cec64d4b73b99be357d47299d776,bb8094eb312b195b0784904bc423ddf8d319a91e87c8c1f3221c60fdec5d8577,polito.it,-66,31,2302183,1018060,6.0,AP-DISTR01,Staff,1709919725.9061918,24.128.144.210.245.112,1.0,64.0,14.0,28.0,-95.0,-93.0,3.0,1.0,4.0,2.0
1515,1709919713.4442668,e729a00194fcad69702e94df48872107208a725835f44ad5fc1f6850aa72631c,2869668d2b783dbffa542f8c0db0d0ecac2560d6e6ed63879c88901103608cac,studenti.polito.it,-64,35,489568112,165933797,6.0,AP-DAUIN01,Student,1709919725.9061918,160.224.175.217.235.0,6.0,64.0,38.0,0.0,-96.0,-87.0,2.0,1.0,3.0,4.0
1516,1709919713.4442668,c22281e5e0230b6877fe1bdd9feebbf5bb73978229c74a8e7898aa38ce4a5524,56ed121e05133832ca6a4eb0976325813e9efc80c935f9faa4bd36c66b200e2e,polito.it,-58,35,348764069,295837963,10.0,AP-LING-RECEPTION,Staff,1709919725.9061918,244.207.226.201.94.160,6.0,132.0,40.0,2.0,-95.0,-94.0,1.0,1.0,1.0,7.0
1517,1709919713.4442668,89a500c0e2fc3c66be5ac8c0972dd0fec94f537e3fe300d3ea2cfdbd92c99035,d6a87ba6e67149abf97d96a1cf3073ecc4bd5dc51dfdfdd9e0d4fc3245402ced,studenti.polito.it,-40,36,631941,252819,10.0,AP-BCI-08,Student,1709919725.9061918,188.38.199.196.7.224,1.0,112.0,42.0,2.0,-89.0,-97.0,5.0,1.0,0.0,21.0
1518,1709919713.4442668,288eccbade0833d05cd72be94f4fbaa916a08c9153a24ca6449602b65d493c26,fdc9f8ce58fb0b44a5feb680138420bc2b5820ff6dc9a73f408010ab2ff92685,studenti.polito.it,-61,31,174448450,363132516,10.0,AP-AULA9T-01,Student,1709919725.9061918,244.207.226.75.200.160,6.0,104.0,45.0,14.0,-95.0,-91.0,5.0,1.0,0.0,31.0
1519,1709919713.4442668,fe4573819a1a1703ceb9e045b754ec3e223f0555f1ae520d03abfc5d68b4b265,d6a87ba6e67149abf97d96a1cf3073ecc4bd5dc51dfdfdd9e0d4fc3245402ced,studenti.polito.it,-46,30,3077624,1846070,10.0,AP-BCI-08,Student,1709919725.9061918,188.38.199.196.7.224,1.0,112.0,42.0,2.0,-89.0,-97.0,5.0,1.0,0.0,21.0
1520,1709919713.4442668,10dc8e15bb71f18edc1f332f0396fc9ec76547183da8d3f434671d03650776d1,8b9a0e9be8cebd47cc62649617eb9b8d4ea86b87dd085ba8a29b8adbc9c8c328,studenti.polito.it,-49,43,2235622,1303237,10.0,AP-AULA8N-01,Student,1709919725.9061918,244.207.226.78.181.16,1.0,44.0,43.0,5.0,-88.0,-92.0,4.0,1.0,1.0,21.0
