,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
2294,57da425084834605237587d98a68d96b3a39df8f095705e81d08adcb9fc79aea,7f7dffbb86c3d202984ce0594eeef165fed97749611e533f145b9f4b9658b1c8,studenti.polito.it,-67.0,26.0,84253727.0,3391076,AP-LING-AULA304,Student
2295,52a1d8dc3d7c5d17b2179819f32ca165f0ac07906cbc9c8a9a188e5ab43b16ff,bfba465519fc4e408586adec39752e209bca67592e18dbd8f8d3352c09eac716,polito.guest,-83.0,14.0,315731.0,180026,AP-TERRAZZO-R5C-XP05-0,Guest
2296,f816da0b72e838f78c82474f2fde38b8f11b845c158c6a1dec21f78d37816354,aaf46393ee287b91d3c423b830fcda2acfafd8c86e252ccaeaab8160748da7cc,studenti.polito.it,-56.0,38.0,303977041.0,18867233,AP-INGCINEMA-01,Student
2297,900ba1415f04e0d6ac0fd5a9d3e8fedc208be93520091ce10ee19ae47bbac460,50918c92583f4b7f40126556c3f9735e9ba69420148686a7c87b6ba83bfdbd1a,polito.it,-64.0,30.0,8897443.0,1728445,AP-DELET03,Staff
2298,0047cb913cc0c26eec0e82c269b55a2d00cff534701029f5c40dc444761495d8,ff4c2bdd81982067fb10a4ce2de538a9edca250b826e920db4d7dca424c640e8,studenti.polito.it,-54.0,40.0,52777640.0,4879316,AP-AULA10C-01,Student
2299,847971d3b704e3dbde8faaf05253c55ef2b50e9df6a673423c2f60410d3bb2a2,6876482fad1bb9f9397a5716b54da4221ff1cb091f3385771f34d979ea9383c2,studenti.polito.it,-62.0,31.0,5379189.0,1518075,AP-DISMIC07,Student
2300,09d3ceda7948a1fa1a6f15c15666a57cb17f06cfe4460071e81cd94ae5ab6418,146d35bd5b7c6d881131e8a9c72f31bb038166fbce87ca6d3e94536cc94f2afd,studenti.polito.it,-64.0,31.0,437896.0,289648,AP-AULA11-13,Student
2301,623f7fd91dd97126774be0688ea6240247b882abd44363d3c50b42b9ee64f19b,7e4bbd48f497359a8be7a792f16e442c594b2213fcd67f6b2d4473c8540c58da,studenti.polito.it,-58.0,39.0,24101361.0,3402189,AP-AULA08-04,Student
2302,df7c691257bcbbb6f7ed3877f378951c6c7d0deffbe8665d6f9bccfe2cd5480c,2267baee40b37c367a750f97fd943ea65e8790741372fceef1c05a2d5d6af7d5,studenti.polito.it,-59.0,34.0,32027354.0,1764331,AP-BCI-06,Student
2303,3d233369b33de0a67c0992558cd43dc1c5e9e66cf56924dd31d2f7d1cc8ab74f,aa3b0b1e2bb307077f76bd94dbc5ffc88f60d25486d75821b65605a59458e69c,studenti.polito.it,-83.0,3.0,25649403.0,5386275,AP-DISMIC18,Student
