,mac_user,username,domain,rssi,snr,byte_rx,byte_tx,class
10369,bb:d2:5f:6c:b7:3c,c7a50f0572003849f01589586631e258,polito.it,-68.0,24.0,55059.0,29518.0,Professor
10370,bb:d8:26:7f:4c:e9,0cd883277d5ca788e5d6694a75a5351b,studenti.polito.it,-76.0,15.0,44640.0,111352.0,Students
10371,bb:d9:66:6:4:66,f75b567fc7444192454cf84e49e5494c,studenti.polito.it,-64.0,33.0,206248498.0,183270449.0,Students
10372,bb:dc:1e:c0:3e:1f,b152c3902b0e8e09ce2b1c43b5697cd6,polito.it,-57.0,37.0,2593403.0,1115005.0,Professor
10373,bb:dc:4f:a8:fd:d1,749270847636a8ec0cf0b47df806ff9b,studenti.polito.it,-53.0,40.0,1534939.0,463734.0,Students
10374,bb:dd:42:40:88:16,69898b7e5404c8dd8e8a182fc93c059a,studenti.polito.it,-51.0,40.0,107038223.0,4273411.0,Students
10375,bb:dd:b1:a8:6c:3b,34095d553eae86888cc297c4380c0fa4,polimi.it,-71.0,21.0,175935180.0,48689885.0,External
10376,bb:de:25:9d:4:de,eab4476426121ec863ded60d32862c15,studenti.polito.it,-68.0,6.0,59594.0,45374.0,Students
10377,bb:e0:79:bf:c1:a6,e041301a3be5314b55b739d851aa3a7a,studenti.polito.it,-61.0,28.0,175469984.0,14886700.0,Students
10378,bb:e1:4d:c5:d5:27,a6225a862f1eb4168e685bd631e0646c,studenti.polito.it,-68.0,26.0,81429374.0,5364094.0,Students
10379,bb:e2:74:ab:f1:21,7d4e378afee1203e1cb6fa1c3696d9fc,studenti.polito.it,-61.0,24.0,1435109.0,1362228.0,Students
10380,bb:e5:59:a:38:9c,d25054be0da36c62ee9a35a1531ccc8b,studenti.polito.it,-59.0,32.0,1726932.0,66904.0,Students
10381,bb:e6:6e:40:7d:42,f761ef38674bfd05deb879c3942c257d,studenti.polito.it,-41.0,37.0,1225219450.0,29450868.0,Students
10382,bb:ef:6a:38:6f:6b,e1ba963d45b3a3137d5c133f7ca07377,studenti.polito.it,-59.0,32.0,141486217.0,5264591.0,Students
10383,bb:ef:d1:58:4a:7e,73db351854dfabcc120c9cc714bef470,polito.it,-55.0,38.0,553988663.0,15552119.0,Professor
10384,bb:f3:4f:33:89:8e,8747de1dc152ec3a154e956416161f2f,polito.it,-59.0,30.0,2479779.0,2279952.0,Professor
10385,bb:fa:76:c9:81:35,e96c47e7564b8032e5a36360928b05e7,studenti.polito.it,-69.0,23.0,14138715.0,4916246.0,Students
10386,bb:fa:cc:26:5e:4e,b970899598b90224b609d601b5ab2194,studenti.polito.it,-49.0,43.0,580641125.0,11009125.0,Students
10387,bb:fb:3d:3a:25:bf,59e0cfc7c49b636d23b56f72f0c74f30,studenti.polito.it,-44.0,52.0,256358849.0,1810202309.0,Students
10388,bb:fb:93:66:13:e1,b25f63c43fde3df6a42fc7465ae89455,studenti.polito.it,-48.0,47.0,19801922.0,53479642.0,Students
10389,bb:fe:8:5:2e:24,a343675213be1f87408cf79d0e505558,studenti.polito.it,-56.0,38.0,53744537.0,113981241.0,Students
10390,bb:fe:27:44:f7:4a,165b283a84af3b987d80fb9c079d7485,studenti.polito.it,-61.0,32.0,61953791.0,11896837.0,Students
10391,bb:ff:da:cf:c9:fc,9ba34a6b09f47b193917956dc194053c,studenti.polito.it,-56.0,37.0,125914178.0,8738045.0,Students
10392,bd:c:bd:9f:30:c8,a6ad65c739e1d8127c20b72ad6154d26,polito.it,-58.0,36.0,189486222.0,91810597.0,Professor
10393,bd:c:bd:a5:66:3c,3a461f8d38b53619b2d92407494d2c2f,polito.it,-58.0,30.0,1113203354.0,111010312.0,Professor
10394,bd:c:bd:ac:29:9f,71be4be9ea5600886f83f78e8e4f480c,polito.it,-54.0,38.0,127414866.0,134226143.0,Professor
10395,bd:c:bd:ac:aa:28,b2961fd93a68ad9dc33797757a7419d7,polito.it,-59.0,34.0,100473689.0,66470647.0,Professor
10396,bd:18:d9:6:e7:e8,e4769585c92f5febc882053825f7aeb3,studenti.polito.it,-48.0,44.0,28906526.0,2492417.0,Students
10397,bd:2b:d3:19:aa:df,04d38a10393991f812b45243d2280e98,polito.it,-67.0,43.0,24028937.0,5525477.0,Professor
10398,bd:2b:d3:65:72:8,17de8182e23656f8c1968f7016765646,studenti.polito.it,-55.0,40.0,24782136.0,3554855.0,Students
10399,bd:2b:d3:83:da:80,f9109c452f497d7690f70ddbfc9fc5a4,studenti.polito.it,-49.0,36.0,2266131.0,471900.0,Students
10400,bd:2b:d3:b3:66:d6,ab8f10fba0b12be5c960013b642c5425,studenti.polito.it,-63.0,27.0,7439600.0,1345433.0,Students
10401,bd:2b:d3:b8:86:f2,a14cec7bdc81147b0f758db719fb0211,studenti.polito.it,-64.0,30.0,48775110.0,7142114.0,Students
10402,bd:2b:d3:ce:e5:70,e9b3df41129cf865711609babbd50728,studenti.polito.it,-54.0,22.0,84412.0,72606.0,Students
10403,bd:2b:d3:cf:23:ca,c3a68e6d2283c545203521d0d64adc15,studenti.polito.it,-78.0,16.0,180756924.0,8612526.0,Students
10404,bd:2b:d3:e7:c4:79,7f0759379777f5a5b7558ad89e7650df,polito.it,-71.0,24.0,780253819.0,23592409.0,Professor
10405,bd:33:4a:9a:8a:68,ab841277a1ea1ae1c11ac1810eaf2ce4,studenti.polito.it,-77.0,15.0,8494.0,2816.0,Students
10406,bd:3f:2d:f5:52:eb,4d310bdde791fecc00443a748dfc47d8,polito.guest,-56.0,35.0,10961491.0,11410979.0,External
10407,bd:41:d0:a:62:3b,bcc18e0e82b42ab29d0cb61459cca2c4,studenti.polito.it,-50.0,38.0,170953520.0,28385741.0,Students
10408,bd:41:d0:4f:c:91,a6f923fc3038e9a34b2f317ca08a7127,studenti.polito.it,-57.0,36.0,36245297.0,35813651.0,Students
10409,bd:41:d0:85:4:63,094c2ef7813b5a533ba6ed03ea11d0b2,polito.guest,-41.0,51.0,1296837.0,859742.0,External
10410,bd:41:d0:d7:12:2b,dc923a03d2aea1964f4ef34056e8fcb3,studenti.polito.it,-57.0,21.0,9106.0,13651.0,Students
10411,bd:41:d0:d8:d3:e6,44432bd611f61c288818977e6e9defa4,polito.it,-59.0,28.0,958630.0,907119.0,Professor
10412,bd:55:db:f3:c0:aa,0796eb610edc103cd9fc3574cc71ef90,studenti.polito.it,-58.0,35.0,12090287.0,6038400.0,Students
10413,bd:83:ba:67:ce:8,cf8c35d8fd644ee130df5ab34ebcd353,polito.it,-52.0,42.0,41418735.0,11923965.0,Professor
10414,bd:9d:d9:21:65:11,2f84a1da8e7e0fae72e3bbd34de46a73,studenti.polito.it,-50.0,45.0,465205193.0,61539996.0,Students
10415,bd:9d:d9:33:dd:99,7ff4ecdb1345a96587463653f43539ef,studenti.polito.it,-72.0,20.0,91332822.0,3536256.0,Students
10416,bd:9d:d9:35:2d:19,fd287eb74fc35aa65cb30c8afe8f0bc3,studenti.polito.it,-53.0,34.0,29752.0,25845.0,Students
10417,bd:9d:d9:3b:7a:31,d9777414f1d3b7d64fe4fc7e4f7f1d32,studenti.polito.it,-45.0,44.0,6967352.0,3562297.0,Students
10418,bd:9d:d9:65:40:97,5ff2745b9f6d7fbbd6fad45b865fe7ae,studenti.polito.it,-61.0,32.0,49942480.0,11983943.0,Students
10419,bd:9d:d9:6b:8b:b1,4e6f6184135228ccd45f8233d72a0363,anonymous,-41.0,43.0,75740334.0,30957555.0,External
10420,bd:9d:d9:86:6:e3,4e765e579c9d694b9db5dcc76fc38e01,studenti.polito.it,-66.0,30.0,170811533.0,27026497.0,Students
10421,bd:9d:d9:a3:4:69,d6dbf08b8d7f3ec841459320d9d844e2,studenti.polito.it,-49.0,43.0,750233157.0,10650563.0,Students
10422,bd:9d:d9:a4:3a:8b,43dc3a17b5af88f8c9b3d894e18d68b2,studenti.polito.it,-50.0,44.0,29011719.0,1312534.0,Students
10423,bd:9d:d9:aa:a4:5f,c9cd432444aef0cdd8f429d8c34b5a70,studenti.polito.it,-49.0,45.0,19053990.0,2196936.0,Students
10424,bd:9d:d9:ae:c5:3,4da91a7609b32e94fb3172a8d1ff5c02,polito.it,-53.0,38.0,28259285.0,9116630.0,Professor
10425,bd:9d:d9:d3:2b:43,ab039df87b0ebcc5c608faf37c04dbb5,studenti.polito.it,-62.0,31.0,71639097.0,12628929.0,Students
10426,bd:9d:d9:d4:66:bb,cf8fd5fbc9df16cfb90384845aad263a,polito.it,-63.0,31.0,45334930.0,13600768.0,Professor
10427,bd:9d:d9:e1:55:df,ce4d0676352379642073e4847c9e2d43,studenti.polito.it,-50.0,42.0,61529579.0,7384659.0,Students
10428,bd:9d:d9:e1:56:69,fc8fa2b8aaf7a6cdb1090b433aaa861d,studenti.polito.it,-45.0,47.0,90032638.0,7331492.0,Students
