,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
7916,15d6fac16cac528a8d944fb8871be210fd1256eba5ac976f428255cbcacb83f7,9c8ed819ad1c9870aaf1a707390fe4724c4ec72af4683e32588a8e73eff41f3d,polito.it,-69.0,23.0,11210835.0,1637411,AP-DITIC01,Staff
7917,1191fa649b4212015ac0246f48d6f36d803aeeab0a0bb656ba6ddc76444c4cd0,34cedf420aa6231b8255a0973fcd127d6c11db996b21c9b4156422deb872d70b,studenti.polito.it,-52.0,38.0,3888387.0,910122,AP-LAIB5D-01,Student
7918,f3ec84eb09a682a285f8cc4ff4c4ac35df962589739090bd60ac744802669e49,e7aed3c26d99e457cc449bc141a6e10b459ef667c94071d013498e516746fb67,studenti.polito.it,-55.0,38.0,154120154.0,17155854,AP-SPECIAL-NEEDS-01,Student
7919,105a7c0f5cb077ea0a8e9f7ae3a353fa93d4018fef41aa4409deabf69142544e,5ddb5cc62d951431bf92ed0346e49323c76ddf2d7b2e275a9793911748e95057,polito.it,-41.0,51.0,3047097.0,1699354,AP-AULAR2B-04,Staff
7920,64ee2c624d9886871ada02579e032d6cad2866d07b5cd323819e4149d6c81561,48526823cc15199cbd4ae139e71f3d0cd3a39362188bfa17615c043463b2b1bb,studenti.polito.it,-52.0,39.0,190072881.0,14502655,AP-AULA11I-01,Student
7921,ca0f528996dac23c98ec560e905a84e0244e6f702f0b37ff2d3dbb38b38d9513,849df59559662713a16a547fb3e64105d381e51fcb47ceabcc73ff4039790064,studenti.polito.it,-53.0,36.0,160100.0,109042,AP-CIT-DET2-01,Student
7922,b959bcf3af9a306200ce2cc977498462e7ec7b77ab7b321f317d6c8901b81488,47ebf8fa8f16352eaea5eea7252e6cb30a425512683740f6291b859fd76c6be3,studenti.polito.it,-66.0,25.0,22120269.0,3161146,AP-GESD2-02,Student
7923,d8dc8a8a65c32ba4898bc0c192ae9fe46bafb3ea3cd762c2af80072438a62355,8b95dae2dfa8c1c5e1fa9ced7fdb8a993a9d5afc5cfed519c5112284b15df55e,studenti.polito.it,-49.0,32.0,130218931.0,9817424,AP-AULAR1B-01,Student
7924,5fce191da5f8019b5778dbf1690f58c646eaf96ab2a464401e236d79947e69a7,acb3696595c33f8b2c6bd726b3659ffe48a6ba55bd70378a62aaa82f625432b1,studenti.polito.it,-51.0,40.0,263311385.0,12313985,AP-AULA3P-03,Student
7925,2855d9a56c50815e7ab74732371992563c092d7ee13637d909cbda2d6a4d1eac,b49033e63d5a81d06312f5cca215e8bf96eed3cdfdd5d474ef9915eff0017bda,studenti.polito.it,-56.0,39.0,46243553.0,48083932,AP-AULA9T-02,Student
